node_a,node_b,start_time,end_time,duration,avg_rssi,battery_a,battery_b
37,72,0.0,39.0,39.0,-99.9,74.3,36.1
72,77,0.0,39.0,39.0,-100.0,36.1,53.3
9,68,0.0,40.0,40.0,-100.0,84.5,71.9
37,73,0.0,40.0,40.0,-100.0,74.3,76.0
36,59,0.0,41.0,41.0,-100.0,67.2,73.1
1,74,0.0,43.0,43.0,-100.0,94.7,59.3
7,36,0.0,43.0,43.0,-100.0,84.5,67.2
25,31,0.0,43.0,43.0,-100.0,56.5,52.9
49,75,0.0,43.0,43.0,-100.0,39.6,84.2
7,29,0.0,44.0,44.0,-100.0,84.5,94.1
29,59,0.0,44.0,44.0,-100.1,94.1,73.1
19,69,33.0,45.0,12.0,-100.0,63.4,95.1
38,60,0.0,46.0,46.0,-100.0,50.1,41.9
40,65,0.0,46.0,46.0,-100.0,44.1,83.4
12,59,0.0,49.0,49.0,-100.1,65.9,73.1
35,38,0.0,49.0,49.0,-100.0,86.3,50.1
42,63,0.0,49.0,49.0,-100.0,90.2,62.6
0,69,0.0,50.0,50.0,-100.0,33.6,95.1
4,54,0.0,50.0,50.0,-100.1,93.1,85.6
33,54,0.0,50.0,50.0,-100.0,89.3,85.6
46,60,0.0,50.0,50.0,-100.0,80.7,41.9
1,4,0.0,51.0,51.0,-100.1,94.7,93.1
26,36,0.0,51.0,51.0,-100.0,78.0,67.2
2,25,0.0,52.0,52.0,-100.0,36.9,56.5
14,56,0.0,52.0,52.0,-100.0,62.3,47.7
22,53,0.0,52.0,52.0,-100.0,55.7,84.7
27,32,0.0,52.0,52.0,-100.0,50.7,67.4
10,74,0.0,53.0,53.0,-100.0,39.4,59.2
34,36,0.0,54.0,54.0,-100.0,75.6,67.2
49,77,0.0,54.0,54.0,-100.0,39.6,53.3
10,35,0.0,55.0,55.0,-100.1,39.4,86.3
21,44,0.0,55.0,55.0,-100.0,46.2,73.0
59,70,6.0,55.0,49.0,-100.1,73.1,38.3
55,72,0.0,56.0,56.0,-100.0,96.2,36.1
12,56,0.0,57.0,57.0,-100.0,65.9,47.7
14,20,0.0,57.0,57.0,-100.1,62.3,59.1
10,48,37.0,57.0,20.0,-100.0,39.4,95.5
4,68,0.0,58.0,58.0,-100.0,93.1,71.9
26,59,0.0,58.0,58.0,-100.1,77.9,73.1
39,60,0.0,58.0,58.0,-100.0,81.4,41.9
59,79,0.0,58.0,58.0,-100.1,73.1,83.3
8,72,0.0,59.0,59.0,-100.0,74.9,36.1
10,60,0.0,59.0,59.0,-100.0,39.4,41.9
14,75,0.0,59.0,59.0,-100.2,62.3,84.1
20,72,0.0,59.0,59.0,-100.1,59.1,36.1
25,49,0.0,59.0,59.0,-100.0,56.5,39.6
2,36,0.0,60.0,60.0,-100.0,36.9,67.2
17,19,0.0,60.0,60.0,-100.0,48.6,63.4
27,79,15.0,60.0,45.0,-99.9,50.7,83.3
38,48,22.0,60.0,38.0,-100.0,50.1,95.5
2,70,52.0,60.0,8.0,-100.0,36.9,38.3
11,41,0.0,61.0,61.0,-100.1,67.5,78.6
56,59,21.0,61.0,40.0,-99.9,47.7,73.1
25,79,0.0,62.0,62.0,-100.0,56.5,83.3
10,32,52.0,62.0,10.0,-100.1,39.4,67.4
3,4,0.0,63.0,63.0,-100.0,89.0,93.1
5,12,0.0,63.0,63.0,-100.0,98.5,65.9
1,33,0.0,64.0,64.0,-100.0,94.7,89.3
8,31,0.0,64.0,64.0,-100.0,74.9,52.9
14,35,23.0,64.0,41.0,-100.0,62.3,86.2
8,14,0.0,65.0,65.0,-100.0,74.9,62.3
22,70,0.0,65.0,65.0,-100.0,55.7,38.3
22,50,8.0,65.0,57.0,-100.0,55.7,97.1
0,13,0.0,66.0,66.0,-100.0,33.6,90.0
41,77,0.0,66.0,66.0,-100.0,78.6,53.3
4,65,10.0,67.0,57.0,-100.0,93.1,83.4
2,78,0.0,68.0,68.0,-100.0,36.9,92.8
4,63,0.0,68.0,68.0,-100.0,93.1,62.5
24,78,0.0,68.0,68.0,-100.0,52.9,92.8
30,38,0.0,68.0,68.0,-100.0,63.6,50.1
37,41,0.0,68.0,68.0,-100.0,74.2,78.6
9,57,0.0,69.0,69.0,-99.9,84.5,71.2
25,67,0.0,69.0,69.0,-100.0,56.5,64.4
52,59,0.0,69.0,69.0,-100.0,71.5,73.1
9,32,40.0,69.0,29.0,-100.1,84.5,67.4
12,67,0.0,70.0,70.0,-100.0,65.9,64.4
32,53,0.0,70.0,70.0,-100.0,67.4,84.7
7,70,0.0,71.0,71.0,-100.0,84.5,38.3
24,25,0.0,71.0,71.0,-100.0,52.9,56.5
21,69,19.0,71.0,52.0,-100.0,46.2,95.1
6,59,0.0,72.0,72.0,-100.0,86.1,73.1
9,64,0.0,72.0,72.0,-100.0,84.5,66.5
12,25,0.0,72.0,72.0,-100.0,65.9,56.5
4,60,52.0,72.0,20.0,-100.0,93.1,41.9
20,73,0.0,73.0,73.0,-100.0,59.1,76.0
26,27,0.0,74.0,74.0,-100.0,77.9,50.7
9,35,17.0,74.0,57.0,-100.0,84.5,86.2
32,44,37.0,74.0,37.0,-100.0,67.4,72.9
16,63,0.0,75.0,75.0,-100.0,74.7,62.5
9,23,0.0,76.0,76.0,-100.0,84.5,55.6
12,45,0.0,77.0,77.0,-100.0,65.9,36.6
25,41,0.0,77.0,77.0,-100.0,56.5,78.6
11,51,0.0,78.0,78.0,-100.0,67.4,86.0
51,72,0.0,78.0,78.0,-100.1,86.0,36.1
55,73,0.0,78.0,78.0,-100.0,96.1,76.0
14,32,0.0,79.0,79.0,-100.0,62.3,67.4
15,41,0.0,79.0,79.0,-100.0,56.9,78.6
17,60,0.0,79.0,79.0,-100.0,48.6,41.9
74,75,31.0,79.0,48.0,-100.0,59.2,84.1
1,59,73.0,79.0,6.0,-100.0,94.7,73.1
53,59,73.0,79.0,6.0,-100.0,84.7,73.1
4,53,0.0,80.0,80.0,-100.0,93.1,84.7
14,49,0.0,80.0,80.0,-100.0,62.3,39.5
13,19,0.0,81.0,81.0,-100.0,89.9,63.4
32,66,0.0,81.0,81.0,-100.0,67.4,85.9
41,55,0.0,81.0,81.0,-100.1,78.6,96.1
52,71,0.0,81.0,81.0,-100.0,71.5,38.1
11,37,0.0,82.0,82.0,-100.0,67.4,74.2
11,55,0.0,82.0,82.0,-100.0,67.4,96.1
12,24,0.0,82.0,82.0,-100.0,65.9,52.8
31,65,0.0,82.0,82.0,-100.0,52.9,83.4
1,65,62.0,82.0,20.0,-100.0,94.7,83.4
31,77,0.0,83.0,83.0,-100.0,52.9,53.3
34,78,0.0,84.0,84.0,-100.0,75.6,92.8
14,48,18.0,84.0,66.0,-100.1,62.3,95.4
4,23,0.0,85.0,85.0,-100.0,93.1,55.6
47,69,0.0,85.0,85.0,-100.0,35.8,95.1
38,44,0.0,86.0,86.0,-100.0,50.1,72.9
18,50,5.0,86.0,81.0,-100.0,39.7,97.0
4,32,19.0,86.0,67.0,-100.0,93.1,67.4
28,69,39.0,86.0,47.0,-100.0,96.3,95.1
18,53,0.0,87.0,87.0,-100.0,39.7,84.7
24,77,5.0,87.0,82.0,-100.0,52.8,53.3
12,77,0.0,88.0,88.0,-100.0,65.9,53.3
45,78,0.0,88.0,88.0,-100.0,36.6,92.8
14,69,29.0,88.0,59.0,-100.2,62.3,95.1
4,35,32.0,88.0,56.0,-100.2,93.1,86.2
60,66,47.0,88.0,41.0,-100.0,41.9,85.9
1,23,0.0,89.0,89.0,-100.0,94.6,55.6
25,34,0.0,89.0,89.0,-100.0,56.5,75.6
1,63,0.0,90.0,90.0,-100.1,94.6,62.5
4,64,0.0,90.0,90.0,-100.0,93.1,66.5
13,35,0.0,91.0,91.0,-100.0,89.9,86.2
54,59,67.0,91.0,24.0,-100.1,85.6,73.0
1,53,0.0,92.0,92.0,-100.0,94.6,84.7
9,53,0.0,92.0,92.0,-100.0,84.4,84.7
37,45,0.0,92.0,92.0,-100.0,74.2,36.6
17,28,0.0,93.0,93.0,-100.0,48.6,96.3
35,44,0.0,93.0,93.0,-100.0,86.2,72.9
38,69,30.0,93.0,63.0,-100.0,50.1,95.1
13,32,43.0,93.0,50.0,-100.0,89.9,67.4
47,66,74.0,93.0,19.0,-100.0,35.8,85.9
49,55,0.0,94.0,94.0,-100.0,39.5,96.1
16,50,81.0,95.0,14.0,-100.0,74.7,97.0
7,52,0.0,97.0,97.0,-100.0,84.5,71.5
12,15,0.0,97.0,97.0,-100.0,65.9,56.9
10,44,0.0,98.0,98.0,-100.1,39.3,72.9
12,34,0.0,98.0,98.0,-100.0,65.9,75.6
77,79,30.0,98.0,68.0,-100.0,53.3,83.3
14,41,43.0,98.0,55.0,-100.0,62.3,78.5
4,48,48.0,98.0,50.0,-100.0,93.1,95.4
10,30,0.0,100.0,100.0,-100.0,39.3,63.6
11,72,0.0,100.0,100.0,-100.0,67.4,36.0
12,31,0.0,100.0,100.0,-100.0,65.9,52.9
1,50,21.0,100.0,79.0,-100.2,94.6,97.0
2,77,34.0,100.0,66.0,-100.0,36.8,53.3
24,26,0.0,101.0,101.0,-100.0,52.8,77.9
67,77,0.0,101.0,101.0,-100.0,64.3,53.3
10,69,34.0,101.0,67.0,-100.1,39.3,95.1
2,12,0.0,102.0,102.0,-100.0,36.8,65.9
23,32,0.0,102.0,102.0,-100.0,55.5,67.4
38,66,0.0,102.0,102.0,-100.0,50.1,85.8
39,44,0.0,102.0,102.0,-100.0,81.3,72.9
20,41,3.0,102.0,99.0,-100.0,59.1,78.5
13,14,44.0,102.0,58.0,-100.1,89.9,62.3
52,62,0.0,103.0,103.0,-100.0,71.5,70.0
8,24,18.0,103.0,85.0,-100.0,74.9,52.8
32,69,39.0,103.0,64.0,-100.0,67.4,95.1
53,74,0.0,104.0,104.0,-100.0,84.7,59.2
64,75,0.0,104.0,104.0,-100.0,66.5,84.1
39,69,53.0,104.0,51.0,-100.0,81.3,95.1
6,25,0.0,105.0,105.0,-100.0,86.0,56.5
26,52,0.0,105.0,105.0,-100.0,77.9,71.5
5,26,0.0,106.0,106.0,-100.0,98.5,77.9
9,60,0.0,106.0,106.0,-100.0,84.4,41.9
4,44,34.0,106.0,72.0,-99.9,93.1,72.9
1,61,0.0,107.0,107.0,-100.0,94.6,69.4
1,3,24.0,107.0,83.0,-100.0,94.6,88.9
19,46,0.0,108.0,108.0,-100.0,63.3,80.7
51,73,0.0,108.0,108.0,-100.0,86.0,75.9
22,59,19.0,108.0,89.0,-100.0,55.6,73.0
20,24,32.0,108.0,76.0,-99.9,59.1,52.8
4,30,33.0,108.0,75.0,-100.0,93.1,63.6
8,75,0.0,109.0,109.0,-100.0,74.9,84.1
44,48,0.0,109.0,109.0,-100.0,72.9,95.4
48,75,0.0,109.0,109.0,-100.0,95.4,84.1
12,40,0.0,110.0,110.0,-100.0,65.9,44.1
41,73,0.0,110.0,110.0,-100.0,78.5,75.9
30,74,35.0,110.0,75.0,-100.0,63.6,59.2
4,69,54.0,110.0,56.0,-100.3,93.1,95.1
23,59,62.0,110.0,48.0,-100.0,55.5,73.0
1,68,0.0,111.0,111.0,-100.0,94.6,71.9
6,77,0.0,111.0,111.0,-100.0,86.0,53.2
33,63,0.0,111.0,111.0,-100.0,89.3,62.5
44,74,14.0,111.0,97.0,-100.0,72.9,59.2
3,32,0.0,112.0,112.0,-100.0,88.9,67.4
9,74,0.0,112.0,112.0,-100.0,84.4,59.2
41,56,27.0,112.0,85.0,-100.1,78.5,47.6
1,43,0.0,113.0,113.0,-100.0,94.6,39.1
6,8,0.0,113.0,113.0,-100.0,86.0,74.9
65,75,15.0,113.0,98.0,-100.0,83.4,84.1
50,66,98.0,113.0,15.0,-100.0,97.0,85.8
4,74,0.0,114.0,114.0,-100.0,93.1,59.2
50,60,93.0,114.0,21.0,-100.0,97.0,41.9
1,7,67.0,115.0,48.0,-100.0,94.6,84.4
29,34,0.0,116.0,116.0,-100.0,94.0,75.6
41,51,0.0,116.0,116.0,-100.0,78.5,85.9
3,75,34.0,116.0,82.0,-100.0,88.9,84.1
30,39,0.0,117.0,117.0,-100.0,63.5,81.3
32,65,0.0,117.0,117.0,-100.0,67.4,83.4
45,79,0.0,117.0,117.0,-99.9,36.5,83.3
32,35,13.0,117.0,104.0,-100.1,67.4,86.2
4,66,20.0,117.0,97.0,-100.0,93.1,85.8
6,78,0.0,118.0,118.0,-100.0,86.0,92.8
13,21,0.0,118.0,118.0,-100.0,89.9,46.2
20,49,0.0,118.0,118.0,-100.0,59.1,39.5
24,79,0.0,118.0,118.0,-100.0,52.8,83.3
25,45,0.0,118.0,118.0,-100.0,56.4,36.5
24,56,3.0,118.0,115.0,-100.0,52.8,47.6
14,46,79.0,118.0,39.0,-100.0,62.3,80.7
6,59,82.0,118.0,36.0,-100.0,86.0,73.0
10,66,0.0,119.0,119.0,-100.0,39.3,85.8
31,59,0.0,119.0,119.0,-100.1,52.9,73.0
53,54,0.0,119.0,119.0,-100.0,84.7,85.5
34,77,27.0,119.0,92.0,-100.0,75.6,53.2
10,28,46.0,119.0,73.0,-100.0,39.3,96.3
15,24,0.0,120.0,120.0,-100.0,56.8,52.8
26,31,0.0,120.0,120.0,-100.0,77.9,52.9
21,28,0.0,121.0,121.0,-100.0,46.2,96.3
26,67,0.0,121.0,121.0,-100.0,77.9,64.3
32,64,0.0,121.0,121.0,-100.0,67.4,66.5
41,45,0.0,121.0,121.0,-100.0,78.5,36.5
13,38,2.0,121.0,119.0,-100.0,89.9,50.0
13,28,16.0,121.0,105.0,-100.0,89.9,96.3
3,59,30.0,121.0,91.0,-100.1,88.9,73.0
35,59,63.0,121.0,58.0,-100.2,86.2,73.0
26,75,67.0,121.0,54.0,-100.0,77.9,84.1
18,32,80.0,121.0,41.0,-100.0,39.7,67.4
50,57,82.0,121.0,39.0,-100.0,97.0,71.2
12,26,0.0,122.0,122.0,-100.0,65.9,77.9
45,55,0.0,122.0,122.0,-100.0,36.5,96.1
78,79,0.0,122.0,122.0,-100.0,92.8,83.3
35,74,13.0,122.0,109.0,-100.0,86.2,59.2
30,50,88.0,122.0,34.0,-100.0,63.5,97.0
59,65,18.0,123.0,105.0,-100.0,73.0,83.4
45,49,37.0,123.0,86.0,-100.0,36.5,39.5
7,32,90.0,123.0,33.0,-100.0,84.4,67.4
31,56,0.0,124.0,124.0,-100.0,52.9,47.6
44,46,0.0,124.0,124.0,-100.0,72.9,80.7
54,63,0.0,124.0,124.0,-100.0,85.5,62.5
18,59,23.0,124.0,101.0,-100.1,39.7,73.0
32,48,25.0,124.0,99.0,-100.2,67.4,95.4
7,31,39.0,124.0,85.0,-100.0,84.4,52.9
59,75,41.0,124.0,83.0,-100.2,73.0,84.1
7,59,1.0,126.0,125.0,-100.0,84.4,73.0
4,13,54.0,126.0,72.0,-100.0,93.1,89.9
9,69,57.0,126.0,69.0,-100.0,84.4,95.1
1,42,63.0,126.0,63.0,-100.0,94.6,90.1
1,18,37.0,127.0,90.0,-100.0,94.6,39.7
35,53,48.0,127.0,79.0,-100.0,86.2,84.7
14,28,64.0,127.0,63.0,-100.0,62.3,96.3
24,59,0.0,128.0,128.0,-100.0,52.8,73.0
48,59,76.0,128.0,52.0,-100.1,95.4,73.0
22,65,0.0,129.0,129.0,-100.0,55.6,83.3
27,52,0.0,129.0,129.0,-100.0,50.7,71.4
8,41,7.0,129.0,122.0,-100.0,74.8,78.5
28,38,32.0,129.0,97.0,-100.0,96.3,50.0
32,41,79.0,129.0,50.0,-100.0,67.4,78.5
4,28,81.0,129.0,48.0,-100.1,93.1,96.3
24,32,83.0,129.0,46.0,-100.0,52.8,67.4
41,48,88.0,129.0,41.0,-100.0,78.5,95.4
24,40,0.0,130.0,130.0,-100.0,52.8,44.0
7,75,63.0,130.0,67.0,-100.1,84.4,84.1
32,74,1.0,131.0,130.0,-100.0,67.3,59.2
28,39,25.0,131.0,106.0,-100.0,96.3,81.3
59,64,55.0,131.0,76.0,-100.0,73.0,66.5
44,50,89.0,131.0,42.0,-100.0,72.9,97.0
69,74,49.0,132.0,83.0,-100.0,95.1,59.2
6,24,0.0,133.0,133.0,-100.1,86.0,52.8
35,66,0.0,133.0,133.0,-100.0,86.2,85.8
46,69,39.0,133.0,94.0,-100.0,80.7,95.1
12,78,0.0,134.0,134.0,-100.0,65.9,92.8
26,45,0.0,134.0,134.0,-100.0,77.9,36.5
32,75,0.0,134.0,134.0,-100.0,67.3,84.1
56,75,0.0,134.0,134.0,-100.0,47.6,84.1
77,78,7.0,134.0,127.0,-100.1,53.2,92.8
40,77,13.0,134.0,121.0,-100.0,44.0,53.2
42,61,0.0,135.0,135.0,-100.0,90.1,69.4
15,78,0.0,136.0,136.0,-100.0,56.8,92.7
45,77,0.0,136.0,136.0,-100.0,36.5,53.2
10,13,9.0,136.0,127.0,-100.0,39.3,89.9
4,17,58.0,136.0,78.0,-100.0,93.0,48.5
50,64,73.0,137.0,64.0,-100.0,97.0,66.4
2,26,0.0,138.0,138.0,-100.0,36.8,77.9
56,79,0.0,138.0,138.0,-100.0,47.6,83.2
41,49,5.0,138.0,133.0,-100.0,78.5,39.5
39,66,30.0,138.0,108.0,-100.0,81.3,85.8
4,46,56.0,138.0,82.0,-100.1,93.0,80.7
31,36,105.0,138.0,33.0,-100.0,52.8,67.2
9,44,0.0,139.0,139.0,-100.0,84.4,72.9
35,63,80.0,139.0,59.0,-100.1,86.2,62.5
13,47,0.0,141.0,141.0,-100.0,89.9,35.8
49,51,0.0,141.0,141.0,-100.0,39.5,85.9
50,63,26.0,141.0,115.0,-100.0,97.0,62.5
50,53,16.0,142.0,126.0,-100.1,97.0,84.6
8,73,41.0,142.0,101.0,-100.0,74.8,75.9
9,66,0.0,143.0,143.0,-100.1,84.4,85.8
17,38,0.0,143.0,143.0,-100.0,48.5,50.0
5,65,0.0,144.0,144.0,-100.0,98.4,83.3
40,59,0.0,144.0,144.0,-100.0,44.0,73.0
33,50,56.0,144.0,88.0,-100.0,89.3,97.0
7,22,0.0,146.0,146.0,-100.0,84.4,55.6
26,34,0.0,146.0,146.0,-100.0,77.9,75.5
60,63,63.0,146.0,83.0,-100.0,41.8,62.5
20,59,98.0,146.0,48.0,-100.0,59.0,73.0
23,74,0.0,147.0,147.0,-100.0,55.5,59.2
38,46,0.0,147.0,147.0,-100.1,50.0,80.7
52,70,0.0,147.0,147.0,-100.0,71.4,38.2
17,69,57.0,147.0,90.0,-100.0,48.5,95.0
7,50,106.0,147.0,41.0,-100.0,84.4,97.0
2,29,0.0,148.0,148.0,-100.0,36.8,94.0
24,75,46.0,148.0,102.0,-100.0,52.8,84.1
24,52,12.0,149.0,137.0,-100.0,52.8,71.4
48,74,38.0,149.0,111.0,-100.1,95.4,59.2
35,61,118.0,149.0,31.0,-100.0,86.2,69.4
18,69,120.0,149.0,29.0,-100.0,39.6,95.0
19,28,0.0,150.0,150.0,-100.0,63.3,96.3
27,75,15.0,150.0,135.0,-100.0,50.6,84.1
45,75,44.0,150.0,106.0,-100.0,36.5,84.1
50,65,64.0,150.0,86.0,-100.0,97.0,83.3
53,64,0.0,151.0,151.0,-100.0,84.6,66.4
59,77,118.0,151.0,33.0,-100.1,73.0,53.2
19,41,136.0,151.0,15.0,-100.0,63.3,78.5
20,77,0.0,152.0,152.0,-100.0,59.0,53.2
51,77,0.0,152.0,152.0,-100.0,85.9,53.2
3,74,0.0,153.0,153.0,-99.9,88.9,59.1
15,77,0.0,153.0,153.0,-99.9,56.8,53.2
54,61,0.0,153.0,153.0,-100.0,85.5,69.4
58,71,0.0,153.0,153.0,-100.0,36.5,38.0
58,62,0.0,154.0,154.0,-100.0,36.5,69.9
2,7,34.0,154.0,120.0,-100.0,36.8,84.4
3,22,0.0,155.0,155.0,-100.0,88.9,55.6
6,27,0.0,155.0,155.0,-100.0,86.0,50.6
26,79,0.0,155.0,155.0,-100.0,77.8,83.2
30,41,150.0,156.0,6.0,-100.0,63.5,78.5
55,77,0.0,157.0,157.0,-100.0,96.1,53.2
3,50,29.0,157.0,128.0,-100.0,88.9,97.0
25,51,29.0,157.0,128.0,-100.0,56.4,85.9
32,59,68.0,157.0,89.0,-100.0,67.3,73.0
28,47,0.0,158.0,158.0,-100.0,96.3,35.8
37,51,23.0,158.0,135.0,-100.0,74.1,85.9
48,50,112.0,158.0,46.0,-100.0,95.4,97.0
10,17,0.0,159.0,159.0,-100.0,39.3,48.5
10,46,0.0,159.0,159.0,-100.1,39.3,80.6
30,60,0.0,159.0,159.0,-100.0,63.5,41.8
35,69,0.0,159.0,159.0,-100.0,86.1,95.0
23,50,46.0,159.0,113.0,-100.0,55.5,97.0
27,32,61.0,159.0,98.0,-100.0,50.6,67.3
38,41,139.0,159.0,20.0,-100.0,50.0,78.5
10,41,143.0,159.0,16.0,-100.1,39.3,78.5
41,65,148.0,159.0,11.0,-100.0,78.5,83.3
50,61,20.0,160.0,140.0,-100.1,97.0,69.4
18,75,49.0,160.0,111.0,-100.0,39.6,84.0
20,27,76.0,160.0,84.0,-100.0,59.0,50.6
34,35,118.0,160.0,42.0,-100.0,75.5,86.1
6,26,0.0,161.0,161.0,-100.0,86.0,77.8
21,46,0.0,161.0,161.0,-100.0,46.1,80.6
13,74,52.0,161.0,109.0,-100.0,89.9,59.1
7,35,77.0,161.0,84.0,-100.2,84.4,86.1
9,41,142.0,161.0,19.0,-100.0,84.4,78.5
65,74,8.0,162.0,154.0,-100.0,83.3,59.1
5,7,21.0,162.0,141.0,-100.0,98.4,84.4
13,39,22.0,162.0,140.0,-100.0,89.9,81.3
15,75,63.0,162.0,99.0,-100.0,56.8,84.0
32,67,73.0,162.0,89.0,-100.1,67.3,64.3
33,53,92.0,162.0,70.0,-100.0,89.2,84.6
16,50,103.0,162.0,59.0,-100.0,74.6,97.0
57,63,0.0,163.0,163.0,-100.0,71.1,62.5
32,49,96.0,163.0,67.0,-100.0,67.3,39.5
54,75,150.0,163.0,13.0,-100.0,85.5,84.0
0,28,0.0,164.0,164.0,-100.0,33.5,96.3
35,65,39.0,164.0,125.0,-100.1,86.1,83.3
34,75,51.0,164.0,113.0,-100.0,75.5,84.0
5,32,76.0,164.0,88.0,-100.1,98.4,67.3
9,30,0.0,165.0,165.0,-100.0,84.4,63.5
27,35,55.0,165.0,110.0,-100.0,50.6,86.1
7,54,64.0,165.0,101.0,-100.0,84.4,85.5
18,50,112.0,165.0,53.0,-100.0,39.6,97.0
13,41,116.0,165.0,49.0,-100.0,89.9,78.5
72,73,0.0,166.0,166.0,-100.1,36.0,75.9
9,13,48.0,166.0,118.0,-100.0,84.4,89.9
32,45,83.0,166.0,83.0,-100.2,67.3,36.5
56,59,86.0,166.0,80.0,-100.0,47.6,73.0
49,59,114.0,166.0,52.0,-100.0,39.5,73.0
21,41,141.0,166.0,25.0,-100.0,46.1,78.5
2,32,95.0,167.0,72.0,-100.0,36.8,67.3
54,69,123.0,167.0,44.0,-100.0,85.5,95.0
24,34,0.0,168.0,168.0,-100.0,52.8,75.5
35,64,1.0,168.0,167.0,-99.9,86.1,66.4
26,77,29.0,168.0,139.0,-100.0,77.8,53.2
6,32,111.0,168.0,57.0,-100.0,86.0,67.3
6,45,0.0,169.0,169.0,-100.0,86.0,36.5
67,75,15.0,169.0,154.0,-100.0,64.3,84.0
9,46,29.0,169.0,140.0,-100.0,84.4,80.6
15,25,0.0,170.0,170.0,-100.0,56.8,56.4
24,31,0.0,170.0,170.0,-100.0,52.8,52.8
32,34,93.0,170.0,77.0,-100.0,67.3,75.5
51,59,101.0,170.0,69.0,-100.0,85.9,73.0
32,72,115.0,170.0,55.0,-100.0,67.3,36.0
17,21,0.0,171.0,171.0,-100.0,48.5,46.1
35,48,0.0,171.0,171.0,-100.0,86.1,95.3
5,24,17.0,171.0,154.0,-100.0,98.4,52.8
7,34,68.0,171.0,103.0,-100.0,84.4,75.5
72,77,117.0,171.0,54.0,-100.0,36.0,53.2
41,63,148.0,171.0,23.0,-100.0,78.5,62.4
2,24,0.0,172.0,172.0,-100.0,36.8,52.8
41,66,124.0,172.0,48.0,-100.0,78.5,85.8
20,45,7.0,173.0,166.0,-100.0,59.0,36.5
3,35,46.0,173.0,127.0,-100.1,88.9,86.1
58,70,16.0,174.0,158.0,-99.9,36.5,38.2
54,65,52.0,175.0,123.0,-100.0,85.5,83.3
24,45,0.0,176.0,176.0,-100.0,52.7,36.5
